outer,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction
2.060000000000000000e+02,3.101191311537987616e+01,3.334027777777777701e-01,1.943055555555555647e-01,1.759722222222222243e-01
2.070000000000000000e+02,3.094352796575783771e+01,3.327083333333333282e-01,1.938888888888888884e-01,1.751388888888888995e-01
2.080000000000000000e+02,3.087620772698705451e+01,3.318055555555555758e-01,1.935416666666666674e-01,1.745138888888888851e-01
2.090000000000000000e+02,3.080920368779131024e+01,3.311805555555555336e-01,1.934027777777777846e-01,1.737499999999999878e-01
2.100000000000000000e+02,3.073556577662912659e+01,3.302083333333333259e-01,1.934722222222222121e-01,1.726388888888888973e-01
2.110000000000000000e+02,3.066981975402399030e+01,3.293749999999999734e-01,1.937500000000000056e-01,1.721527777777777657e-01
2.120000000000000000e+02,3.060513472411791014e+01,3.286111111111111316e-01,1.931944444444444464e-01,1.710416666666666752e-01
2.130000000000000000e+02,3.053969628745166887e+01,3.278472222222222343e-01,1.925000000000000044e-01,1.705555555555555436e-01
2.140000000000000000e+02,3.047887922643916525e+01,3.268750000000000266e-01,1.925000000000000044e-01,1.699305555555555569e-01
2.150000000000000000e+02,3.041858844157158259e+01,3.267361111111111160e-01,1.922222222222222110e-01,1.698611111111111016e-01
2.160000000000000000e+02,3.035788049752034468e+01,3.262499999999999845e-01,1.917361111111111072e-01,1.692361111111111149e-01
2.170000000000000000e+02,3.030042227218407547e+01,3.253472222222222321e-01,1.912500000000000033e-01,1.688194444444444386e-01
2.180000000000000000e+02,3.024374925764755062e+01,3.246527777777777901e-01,1.908333333333333270e-01,1.675000000000000100e-01
2.190000000000000000e+02,3.019648805056473506e+01,3.240972222222222032e-01,1.905555555555555614e-01,1.666666666666666574e-01
2.200000000000000000e+02,3.013988850866662261e+01,3.232638888888889062e-01,1.900694444444444575e-01,1.656944444444444497e-01
2.210000000000000000e+02,3.008228088842519909e+01,3.224305555555555536e-01,1.902083333333333404e-01,1.649305555555555525e-01
2.220000000000000000e+02,3.002564123424778941e+01,3.218750000000000222e-01,1.896527777777777812e-01,1.644444444444444486e-01
2.230000000000000000e+02,2.997236290663796865e+01,3.211805555555555802e-01,1.888888888888888840e-01,1.637500000000000067e-01
2.240000000000000000e+02,2.991811555202531636e+01,3.210416666666666696e-01,1.882638888888888973e-01,1.636805555555555514e-01
