outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,itersSinceMoveChange,moveDescent,maxAbs,rms,l2,r_rho,r_rho_below_thr,utilPersistCount,beta,betaStallRel,betaStallFires,objRelRange_W10,nInner,innerConv,multN,degen,multJ
60,156.710807861178,158.880587508127,0.0138457562472136,0.499978315090953,43.0510989675999,0.46171875,0.24265625,0.04,1,59,0,0.0328669411557442,0.00383380003847224,0.433744960786715,0.821673528893606,0,0,24595.6978470792,0.0207803217945341,0,0.0101509752374031,30,1,2,1,0
61,156.849671454629,159.214927577445,0.0150797645980463,0.499996006232932,42.7554835661827,0.45875,0.24015625,0.04,1,60,0,0.0398087585733874,0.00522146130656242,0.590740911611754,0.995218964334685,0,0,24649.2086607478,0.0212884266715507,0,0.00993852924443335,37,1,2,1,0
62,156.9766747832,159.833506999733,0.0181990873515359,0.499992780736146,42.5260386572286,0.455,0.2378125,0.04,1,61,0,0.0396111931954337,0.00402518209714611,0.455397369024433,0.990279829885842,0,0,24665.3473778603,0.0217073369998082,0,0.00961168004531756,26,1,2,1,0
63,157.123821646683,160.226567162298,0.019747136259152,0.499964400579257,42.4422021780154,0.45421875,0.23765625,0.04,1,62,0,0.0256966439293277,0.00183067650770888,0.207117403641577,0.642416098233193,0,0,24613.3458370418,0.0218899318061028,0,0.00929136940297152,11,1,2,1,0
64,157.177794718739,160.450942706356,0.0208244936472961,0.499949463402713,42.1672455342076,0.45234375,0.23515625,0.04,1,63,0,0.0387869443552846,0.00395596788451917,0.447566674767953,0.969673608882116,0,0,24752.6026271416,0.0213982355037305,0,0.0079485732421027,29,1,2,1,0
65,157.325132891077,160.836434481226,0.0223187581387942,0.49998633312631,42.0182126547352,0.45078125,0.233125,0.04,1,64,0,0.038264874823421,0.00265895041433807,0.300825899010756,0.956621870585526,0,0,24776.6954379815,0.0211760102062283,0,0.00783571886176251,18,1,2,1,0
66,157.380742925591,161.036138856211,0.0232264498354062,0.499981341367076,41.9192403069362,0.45046875,0.23234375,0.04,1,65,0,0.0170827753844372,0.00172814190750569,0.195516937863988,0.42706938461093,1,0,24749.8182745036,0.0205604030864826,0,0.00631244572394249,10,1,2,1,0
67,157.437464376639,161.20146727779,0.023907923797265,0.499988074925074,41.8029433908385,0.45,0.23140625,0.04,1,66,0,0.016564490989843,0.00184937941151916,0.209233395659518,0.414112274746075,1,1,24797.0121275142,0.0195908308573003,0,0.00596679330193998,13,1,2,1,0
68,157.494821716848,161.441992780289,0.0250622275730307,0.499993355099226,41.4891665574587,0.44875,0.22921875,0.04,1,67,0,0.0397304832407954,0.00487031902693389,0.551013697677892,0.993262081019885,0,2,24859.4419460801,0.0183860279588316,0,0.00555629274852967,32,1,2,1,0
69,157.648093966477,161.952460039831,0.0273036353631349,0.499992432800458,41.2402355378519,0.448125,0.22671875,0.04,1,68,0,0.0396520567141321,0.00429030596724621,0.485392710848785,0.991301417853303,0,0,24883.2262319054,0.0178869662801858,0,0.00596190563469981,27,1,2,1,0
70,157.7691949006,162.546347683409,0.0302793760582893,0.499993343774721,41.0209146670131,0.44703125,0.2240625,0.04,1,69,0,0.0396122257066114,0.00359301605394796,0.406503362665398,0.990305642665286,0,0,24917.2063789812,0.0169892896034191,0,0.00584498563962977,25,1,2,1,0
71,157.845975204219,162.815737361221,0.031484883606135,0.499991491902619,40.7860798367533,0.4459375,0.22046875,0.04,1,70,0,0.0387814907362502,0.00365328811464157,0.413322367918603,0.969537268406254,0,0,24941.1842273469,0.0160134300369703,0,0.00552224381726807,23,1,2,1,0
72,157.954435020119,163.042390590893,0.0322115398034051,0.499992800608709,40.4803930553914,0.44375,0.2165625,0.04,1,71,0,0.035816773280251,0.0045849798588184,0.518731255963876,0.895419332006274,0,0,24985.9322710063,0.0149630300088833,0,0.0052732084592852,27,1,2,1,0
73,158.101793369421,163.428250194003,0.0336900468430233,0.49999235615911,40.1965098554777,0.44125,0.211875,0.04,1,72,0,0.0396001748382564,0.00420690985075373,0.475957517329352,0.990004370956411,0,0,25029.844776831,0.014221423914194,0,0.00586243175493365,23,1,2,1,0
74,158.233821801805,163.728900200064,0.0347275843791627,0.499983737181708,40.0443561428374,0.44,0.20859375,0.04,1,73,0,0.0218857601935524,0.00241814859367367,0.273582282960538,0.547144004838811,0,0,25011.3931843464,0.0143607294466454,0,0.00576143686074897,11,1,2,1,0
75,158.306226928285,163.964644247288,0.0357434917678055,0.499991119534566,39.7474648500386,0.4384375,0.20296875,0.04,1,74,0,0.0384280114587719,0.00409426759475678,0.463213500839177,0.960700286469297,0,0,25114.8141283559,0.0135568281475684,0,0.00586427631656701,20,1,2,1,0
76,158.445584194879,164.299753054467,0.0369475040237643,0.499989020761129,39.3227615933144,0.43625,0.196875,0.04,1,75,0,0.0396820000754356,0.00594203998017485,0.672265082250115,0.992050001885889,0,0,25163.6663287776,0.0132821004567214,0,0.0063835862227701,26,1,2,1,0
77,158.65738304484,164.840685226034,0.038972672197966,0.499987044903429,38.9063291861168,0.4321875,0.1928125,0.04,1,76,0,0.0396191763719671,0.00570942701882866,0.64594792987255,0.990479409299177,0,0,25231.1152131975,0.0136397587721682,0,0.00735585394060563,21,1,2,1,0
78,158.868992565349,165.322973365894,0.0406245466552627,0.499987587950862,38.2841775779504,0.42453125,0.18828125,0.04,1,77,0,0.0398095033044512,0.00825914401604584,0.93441547848677,0.99523758261128,0,0,25342.0276543464,0.0141904530980289,0,0.00771825948656935,28,1,2,1,0
79,159.248102794426,166.208428256812,0.0437074309850414,0.499981178770946,37.8368997918253,0.4196875,0.18640625,0.04,1,78,0,0.0397828263142561,0.0060827026669742,0.688179248601432,0.994570657856402,0,0,25445.2838161244,0.0145851178770385,0,0.00933989177713595,15,1,2,1,0
80,159.530111881389,166.714672970715,0.0450357678847994,0.499983616452005,37.277267659839,0.41359375,0.18359375,0.04,1,79,0,0.0397285889152846,0.00690396367006822,0.781094324507328,0.993214722882116,0,0,25559.8907093078,0.0155253271086898,0,0.0106241781672198,16,1,2,1,0
81,159.84746995727,167.327307795099,0.0467935954183586,0.499984297811393,36.6334376081191,0.4075,0.17953125,0.04,1,80,0,0.0397222603151148,0.00800456182787636,0.905612791826938,0.993056507877871,0,0,25669.8607591268,0.0168019938616695,0,0.0119269291007226,22,1,2,1,0
82,160.215263542843,168.019269417082,0.0487095030877176,0.499986388354915,35.8529259009843,0.400625,0.175,0.04,1,81,0,0.0397083806016089,0.00952431932848082,1.07755372533678,0.992709515040222,0,0,25810.319136255,0.0185434133137544,0,0.0132968250484286,27,1,2,1,0
83,160.67937574694,168.936567384065,0.0513892439445953,0.499982593692796,35.1492169743742,0.3925,0.1721875,0.04,1,82,0,0.0397492782057448,0.00853538770276693,0.965668883949242,0.99373195514362,0,0,25957.5515765946,0.0205486667444651,0,0.015361207779989,20,1,2,1,0
84,161.100248545606,169.642913761615,0.0530270145026571,0.499985153932196,34.402613118749,0.380625,0.1675,0.04,1,83,0,0.0397238976638167,0.00881886915269478,0.997741148842775,0.993097441595417,0,0,26102.724153203,0.0225698311287388,0,0.0175184888771205,21,1,2,1,0
85,161.563133182246,170.386003200397,0.0546094263237525,0.499989754162106,33.5647600184411,0.371875,0.16296875,0.04,1,84,0,0.0397797256973549,0.00967071441234509,1.09411643838203,0.994493142433872,0,0,26279.0752068038,0.0258905530612048,0,0.0195071672600677,27,1,2,1,0
86,162.060720504414,171.237252788886,0.0566240373108939,0.499979169572921,33.0174054897348,0.3625,0.16015625,0.04,1,85,0,0.0397209304155619,0.00672123378035477,0.760420797444633,0.993023260389048,0,0,26365.6916078631,0.0291694199343344,0,0.0212473436013613,15,1,2,1,0
87,162.374110833115,171.671441867495,0.0572587032912832,0.49999051988073,32.2720854564569,0.35515625,0.1575,0.04,1,86,0,0.0397822157503459,0.00859171668487533,0.972041780785432,0.994555393758648,0,0,26511.2428989352,0.0322775254609594,0,0.0218321114505387,26,1,2,1,0
