mesh,k,representation,evaluator,batch_schedule,final_requested,escalation,mode,lambda,omega,residual,eigenpair_valid,diagnostic_finite,voidKE,voidSE,densityParticipation,IPR,pass_KE,pass_SE,pass_P,valid_structural,selected
96x12,2,double,E1,3,3,0,1,4908.1093442597548,70.057899941832076,2.6859665765099592e-11,1,1,0,0,0.50273512346627758,0.0012799125522429328,1,1,1,1,1
96x12,2,double,E1,3,3,0,2,67114.342467127339,259.06435970068776,7.3967576364872784e-12,1,1,0,0,0.50126151051745171,0.0012312780041824371,1,1,1,1,0
96x12,2,double,E1,3,3,0,3,195388.62995078022,442.02786105717388,6.9967228856968559e-13,1,1,0,0,0.5016353105078708,0.0010012360371342004,1,1,1,1,0
96x12,2,single,E1,3,3,0,1,4908.1091422051268,70.057898499777508,2.7200723115077445e-11,1,1,0,0,0.50273512068541348,0.0012799125500423214,1,1,1,1,1
96x12,2,single,E1,3,3,0,2,67114.34029133046,259.06435550135114,7.23035178419775e-12,1,1,0,0,0.5012615091432564,0.0012312780018423704,1,1,1,1,0
96x12,2,single,E1,3,3,0,3,195388.62902936075,442.02786001490983,6.3786699273262658e-13,1,1,0,0,0.50163530874764206,0.0010012360307009949,1,1,1,1,0
96x12,2,double,E2,3,3,0,1,4908.0817224573475,70.057702806025176,3.1657982865026564e-11,1,1,0,0,0.50273512381095009,0.0012799125494534339,1,1,1,1,1
96x12,2,double,E2,3,3,0,2,67113.958659410229,259.06361894216298,7.4230733605468926e-12,1,1,0,0,0.50126151077564318,0.0012312780082739927,1,1,1,1,0
96x12,2,double,E2,3,3,0,3,195387.46804055269,442.02654675997991,7.1374499043793127e-13,1,1,0,0,0.50163531100746717,0.0010012360629774427,1,1,1,1,0
96x12,2,single,E2,3,3,0,1,4908.0815204429755,70.057701364253845,2.4391806448810437e-11,1,1,0,0,0.50273512103008544,0.0012799125472527113,1,1,1,1,1
96x12,2,single,E2,3,3,0,2,67113.956483630463,259.06361474284739,6.9925780988947625e-12,1,1,0,0,0.50126150940144754,0.0012312780059339293,1,1,1,1,0
96x12,2,single,E2,3,3,0,3,195387.4671191895,442.02654571777646,6.7647060523672111e-13,1,1,0,0,0.50163530924723776,0.0010012360565442263,1,1,1,1,0
96x12,2,double,E3,3,3,0,1,4908.0816947582762,70.057702608337621,2.9426015308637568e-11,1,1,0,0,0.50273512381129537,0.0012799125494507763,1,1,1,1,1
96x12,2,double,E3,3,3,0,2,67113.958275188052,259.06361820060346,7.177830914334521e-12,1,1,0,0,0.50126151077590186,0.0012312780082781092,1,1,1,1,0
96x12,2,double,E3,3,3,0,3,195387.46687742666,442.0265454443055,7.0926595509723431e-13,1,1,0,0,0.50163531100796743,0.0010012360630033321,1,1,1,1,0
96x12,2,single,E3,3,3,0,1,4908.0814927910196,70.057701166902561,2.7211591953326935e-11,1,1,0,0,0.5027351210304305,0.0012799125472499418,1,1,1,1,1
96x12,2,single,E3,3,3,0,2,67113.956099439165,259.0636140013475,6.8684588648570832e-12,1,1,0,0,0.50126150940170566,0.0012312780059380182,1,1,1,1,0
96x12,2,single,E3,3,3,0,3,195387.46595606828,442.02654440210745,6.6790113062434566e-13,1,1,0,0,0.50163530924773814,0.001001236056570106,1,1,1,1,0
96x12,3,double,E1,3,3,0,1,5014.6312495596576,70.814061100601037,2.7718394464994576e-11,1,1,0,0,0.50417978171169264,0.0012812636300028714,1,1,1,1,1
