k,ratio_E1_double,ratio_E1_single,ratio_E2_double,ratio_E2_single,ratio_E3_double,ratio_E3_single,binding_evaluator_double,binding_evaluator_single,Q_double,Q_single,delta_Q_single_minus_double,H0_double,H0_single,pass_q0_980_double,pass_q0_980_single,pass_q0_990_double,pass_q0_990_single,pass_q0_995_double,pass_q0_995_single
84,0.804161471839571,0.804161481143851,0.810816371789586,0.810816381020463,0.810816367831672,0.810816377071054,1,1,0.804161471839571,0.804161481143851,9.30427990208926e-09,0,0,0,0,0,0,0,0
85,0.809465418110038,0.809465424987428,0.817381633133042,0.817381639856797,0.81738162913393,0.817381635850586,1,1,0.809465418110038,0.809465424987428,6.87738987981135e-09,0,0,0,0,0,0,0,0
86,0.815086680080957,0.815086685169832,0.823724197392053,0.823724202399049,0.823724193305227,0.823724198305234,1,1,0.815086680080957,0.815086685169832,5.08887509909073e-09,0,0,0,0,0,0,0,0
87,0.820668465472856,0.820668469928344,0.830141613906568,0.830141618345684,0.830141609736844,0.830141614176845,1,1,0.820668465472856,0.820668469928344,4.45548831162768e-09,0,0,0,0,0,0,0,0
88,0.826446202335461,0.826446201221,0.83626170630685,0.836261704903158,0.836261702050352,0.836261700653398,1,1,0.826446202335461,0.826446201221,-1.11446130102166e-09,0,0,0,0,0,0,0,0
89,0.832238662473533,0.832238659122165,0.842008031924803,0.842008028473157,0.842008027625507,0.842008024170207,1,1,0.832238662473533,0.832238659122165,-3.35136773887967e-09,0,0,0,0,0,0,0,0
90,0.838111754847301,0.838111746985369,0.847546644585674,0.847546636806521,0.847546640171321,0.847546632396232,1,1,0.838111754847301,0.838111746985369,-7.86193221635756e-09,0,0,0,0,0,0,0,0
91,0.843984152895327,0.843984143406186,0.852847954039242,0.852847944680285,0.852847949586875,0.852847940234373,1,1,0.843984152895327,0.843984143406186,-9.48914102849585e-09,0,0,0,0,0,0,0,0
92,0.849918671950938,0.84991865835932,0.858057090544799,0.858057076818769,0.858057085988912,0.8580570722621,1,1,0.849918671950938,0.84991865835932,-1.35916177201878e-08,0,0,0,0,0,0,0,0
93,0.855911967358938,0.855911950964834,0.863212181987479,0.863212165585739,0.863212177311954,0.863212160921565,1,1,0.855911967358938,0.855911950964834,-1.63941038522353e-08,0,0,0,0,0,0,0,0
94,0.861878342690769,0.861878359557546,0.86826095398716,0.868260970727454,0.868260949140069,0.868260965875592,1,1,0.861878342690769,0.861878359557546,1.68667770861219e-08,0,0,0,0,0,0,0,0
95,0.868024604845193,0.868024618492711,0.873424041263995,0.87342405496489,0.873424036167524,0.873424049864893,1,1,0.868024604845193,0.868024618492711,1.36475185597007e-08,0,0,0,0,0,0,0,0
96,0.874113913258372,0.874113923656857,0.878492572676529,0.878492582978798,0.87849256718489,0.878492577493181,1,1,0.874113913258372,0.874113923656857,1.03984856281158e-08,0,0,0,0,0,0,0,0
97,0.880179296743922,0.880179304470566,0.883520701008814,0.8835207087244,0.88352069487486,0.88352070260435,1,1,0.880179296743922,0.880179304470566,7.72664399129042e-09,0,0,0,0,0,0,0,0
98,0.886422907327942,0.886422911645781,0.888692726037775,0.888692730267495,0.888692718392397,0.888692722616618,1,1,0.886422907327942,0.886422911645781,4.31783808707564e-09,0,0,0,0,0,0,0,0
99,0.89258333649531,0.892583340157383,0.893886822523386,0.893886826189513,0.893886809674158,0.89388681333537,1,1,0.89258333649531,0.892583340157383,3.66207275614983e-09,1,0,0,0,0,0,0,0
100,0.898751975579504,0.898751976228491,0.899146543543569,0.899146544066451,0.899146512965437,0.899146513486977,1,1,0.898751975579504,0.898751976228491,6.48987752427388e-10,1,1,0,0,0,0,0,0
101,0.901365710219975,0.90136571066439,0.90165627440113,0.901656274910899,0.901656239049442,0.901656239558799,1,1,0.901365710219975,0.90136571066439,4.4441461621858e-10,1,1,0,0,0,0,0,0
102,0.904121491142402,0.904121491198244,0.904350276391939,0.904350276253199,0.904350253813845,0.904350253673695,1,1,0.904121491142402,0.904121491198244,5.58419976925961e-11,1,1,0,0,0,0,0,0
103,0.906478207877057,0.906478207181879,0.906957152521544,0.906957151876389,0.906957128809261,0.906957128164274,1,1,0.906478207877057,0.906478207181879,-6.95177471143893e-10,1,1,0,0,0,0,0,0
